DateTime,Energie_import_kWh,Index_import_kWh,Source,Pas
03/01/2025 01:00,0.231,18453.083,Compteur intelligent,1H
03/01/2025 02:00,0.246,18453.329,Compteur intelligent,1H
03/01/2025 03:00,0.309,18453.638,Compteur intelligent,1H
03/01/2025 04:00,0.304,18453.942,Compteur intelligent,1H
03/01/2025 05:00,0.627,18454.569,Compteur intelligent,1H
03/01/2025 06:00,1.036,18455.605,Compteur intelligent,1H
03/01/2025 07:00,1.214,18456.818,Compteur intelligent,1H
03/01/2025 08:00,1.131,18457.95,Compteur intelligent,1H
03/01/2025 09:00,0.572,18458.522,Compteur intelligent,1H
03/01/2025 10:00,0.349,18458.871,Compteur intelligent,1H
03/01/2025 11:00,0.329,18459.2,Compteur intelligent,1H
03/01/2025 12:00,0.438,18459.638,Compteur intelligent,1H
03/01/2025 13:00,0.346,18459.984,Compteur intelligent,1H
03/01/2025 14:00,0.268,18460.252,Compteur intelligent,1H
03/01/2025 15:00,0.329,18460.581,Compteur intelligent,1H
03/01/2025 16:00,0.457,18461.038,Compteur intelligent,1H
03/01/2025 17:00,0.359,18461.397,Compteur intelligent,1H
03/01/2025 18:00,0.725,18462.122,Compteur intelligent,1H
03/01/2025 19:00,1.414,18463.536,Compteur intelligent,1H
03/01/2025 20:00,1.701,18465.237,Compteur intelligent,1H
03/01/2025 21:00,1.764,18467.001,Compteur intelligent,1H
03/01/2025 22:00,1.434,18468.435,Compteur intelligent,1H
03/01/2025 23:00,0.862,18469.297,Compteur intelligent,1H
04/01/2025 00:00,0.311,18469.608,Compteur intelligent,1H
04/01/2025 01:00,0.237,18469.845,Compteur intelligent,1H
04/01/2025 02:00,0.241,18470.086,Compteur intelligent,1H
04/01/2025 03:00,0.229,18470.315,Compteur intelligent,1H
04/01/2025 04:00,0.377,18470.692,Compteur intelligent,1H
04/01/2025 05:00,0.453,18471.145,Compteur intelligent,1H
04/01/2025 06:00,1.082,18472.228,Compteur intelligent,1H
04/01/2025 07:00,1.326,18473.554,Compteur intelligent,1H
04/01/2025 08:00,1.043,18474.597,Compteur intelligent,1H
04/01/2025 09:00,0.47,18475.067,Compteur intelligent,1H
04/01/2025 10:00,0.209,18475.276,Compteur intelligent,1H
04/01/2025 11:00,0.214,18475.49,Compteur intelligent,1H
04/01/2025 12:00,0.455,18475.946,Compteur intelligent,1H
04/01/2025 13:00,0.514,18476.46,Compteur intelligent,1H
04/01/2025 14:00,0.562,18477.022,Compteur intelligent,1H
04/01/2025 15:00,0.498,18477.52,Compteur intelligent,1H
04/01/2025 16:00,0.553,18478.073,Compteur intelligent,1H
04/01/2025 17:00,0.456,18478.529,Compteur intelligent,1H
04/01/2025 18:00,0.789,18479.318,Compteur intelligent,1H
04/01/2025 19:00,1.455,18480.772,Compteur intelligent,1H
04/01/2025 20:00,1.739,18482.511,Compteur intelligent,1H
04/01/2025 21:00,1.662,18484.173,Compteur intelligent,1H
04/01/2025 22:00,1.455,18485.628,Compteur intelligent,1H
04/01/2025 23:00,0.747,18486.375,Compteur intelligent,1H
05/01/2025 00:00,0.348,18486.723,Compteur intelligent,1H
05/01/2025 01:00,0.272,18486.995,Compteur intelligent,1H
05/01/2025 02:00,0.392,18487.387,Compteur intelligent,1H
05/01/2025 03:00,0.258,18487.645,Compteur intelligent,1H
05/01/2025 04:00,0.416,18488.061,Compteur intelligent,1H
05/01/2025 05:00,0.495,18488.556,Compteur intelligent,1H
05/01/2025 06:00,1.057,18489.613,Compteur intelligent,1H
05/01/2025 07:00,1.216,18490.828,Compteur intelligent,1H
05/01/2025 08:00,1.079,18491.907,Compteur intelligent,1H
05/01/2025 09:00,0.573,18492.481,Compteur intelligent,1H
05/01/2025 10:00,0.369,18492.85,Compteur intelligent,1H
05/01/2025 11:00,0.321,18493.171,Compteur intelligent,1H
05/01/2025 12:00,0.348,18493.518,Compteur intelligent,1H
05/01/2025 13:00,0.533,18494.051,Compteur intelligent,1H
05/01/2025 14:00,0.525,18494.575,Compteur intelligent,1H
05/01/2025 15:00,0.466,18495.042,Compteur intelligent,1H
05/01/2025 16:00,0.5,18495.542,Compteur intelligent,1H
05/01/2025 17:00,0.447,18495.989,Compteur intelligent,1H
05/01/2025 18:00,0.828,18496.817,Compteur intelligent,1H
05/01/2025 19:00,1.34,18498.156,Compteur intelligent,1H
05/01/2025 20:00,1.699,18499.856,Compteur intelligent,1H
05/01/2025 21:00,1.807,18501.662,Compteur intelligent,1H
05/01/2025 22:00,1.376,18503.039,Compteur intelligent,1H
05/01/2025 23:00,0.703,18503.741,Compteur intelligent,1H
06/01/2025 00:00,0.281,18504.022,Compteur intelligent,1H
06/01/2025 01:00,0.2,18504.222,Compteur intelligent,1H
06/01/2025 02:00,0.288,18504.51,Compteur intelligent,1H
06/01/2025 03:00,0.207,18504.718,Compteur intelligent,1H
06/01/2025 04:00,0.374,18505.091,Compteur intelligent,1H
06/01/2025 05:00,0.489,18505.58,Compteur intelligent,1H
06/01/2025 06:00,1.227,18506.807,Compteur intelligent,1H
06/01/2025 07:00,1.302,18508.109,Compteur intelligent,1H
06/01/2025 08:00,1.172,18509.28,Compteur intelligent,1H
06/01/2025 09:00,0.411,18509.691,Compteur intelligent,1H
06/01/2025 10:00,0.313,18510.004,Compteur intelligent,1H
06/01/2025 11:00,0.299,18510.303,Compteur intelligent,1H
06/01/2025 12:00,0.458,18510.761,Compteur intelligent,1H
06/01/2025 13:00,0.252,18511.014,Compteur intelligent,1H
06/01/2025 14:00,0.414,18511.428,Compteur intelligent,1H
06/01/2025 15:00,0.398,18511.826,Compteur intelligent,1H
06/01/2025 16:00,0.493,18512.319,Compteur intelligent,1H
06/01/2025 17:00,0.49,18512.809,Compteur intelligent,1H
06/01/2025 18:00,0.729,18513.538,Compteur intelligent,1H
06/01/2025 19:00,1.373,18514.912,Compteur intelligent,1H
06/01/2025 20:00,1.652,18516.564,Compteur intelligent,1H
06/01/2025 21:00,1.739,18518.303,Compteur intelligent,1H
06/01/2025 22:00,1.393,18519.696,Compteur intelligent,1H
06/01/2025 23:00,0.847,18520.543,Compteur intelligent,1H
07/01/2025 00:00,0.238,18520.782,Compteur intelligent,1H
07/01/2025 01:00,0.294,18521.076,Compteur intelligent,1H
07/01/2025 02:00,0.181,18521.257,Compteur intelligent,1H
07/01/2025 03:00,0.257,18521.514,Compteur intelligent,1H
07/01/2025 04:00,0.337,18521.85,Compteur intelligent,1H
07/01/2025 05:00,0.539,18522.389,Compteur intelligent,1H
07/01/2025 06:00,1.178,18523.567,Compteur intelligent,1H
07/01/2025 07:00,1.284,18524.851,Compteur intelligent,1H
07/01/2025 08:00,1.024,18525.875,Compteur intelligent,1H
07/01/2025 09:00,0.517,18526.392,Compteur intelligent,1H
07/01/2025 10:00,0.352,18526.744,Compteur intelligent,1H
07/01/2025 11:00,0.31,18527.054,Compteur intelligent,1H
07/01/2025 12:00,0.312,18527.366,Compteur intelligent,1H
07/01/2025 13:00,0.422,18527.787,Compteur intelligent,1H
07/01/2025 14:00,0.36,18528.148,Compteur intelligent,1H
07/01/2025 15:00,0.405,18528.553,Compteur intelligent,1H
07/01/2025 16:00,0.478,18529.031,Compteur intelligent,1H
07/01/2025 17:00,0.485,18529.516,Compteur intelligent,1H
07/01/2025 18:00,0.744,18530.26,Compteur intelligent,1H
07/01/2025 19:00,1.536,18531.795,Compteur intelligent,1H
07/01/2025 20:00,1.744,18533.54,Compteur intelligent,1H
07/01/2025 21:00,1.712,18535.252,Compteur intelligent,1H
07/01/2025 22:00,1.413,18536.665,Compteur intelligent,1H
07/01/2025 23:00,0.816,18537.481,Compteur intelligent,1H
08/01/2025 00:00,0.283,18537.763,Compteur intelligent,1H
08/01/2025 01:00,0.307,18538.07,Compteur intelligent,1H
08/01/2025 02:00,0.347,18538.417,Compteur intelligent,1H
08/01/2025 03:00,0.25,18538.667,Compteur intelligent,1H
08/01/2025 04:00,0.218,18538.885,Compteur intelligent,1H
08/01/2025 05:00,0.508,18539.393,Compteur intelligent,1H
08/01/2025 06:00,1.106,18540.499,Compteur intelligent,1H
08/01/2025 07:00,1.252,18541.751,Compteur intelligent,1H
08/01/2025 08:00,1.145,18542.896,Compteur intelligent,1H
08/01/2025 09:00,0.526,18543.423,Compteur intelligent,1H
08/01/2025 10:00,0.262,18543.684,Compteur intelligent,1H
08/01/2025 11:00,0.312,18543.996,Compteur intelligent,1H
08/01/2025 12:00,0.343,18544.339,Compteur intelligent,1H
08/01/2025 13:00,0.265,18544.604,Compteur intelligent,1H
08/01/2025 14:00,0.383,18544.987,Compteur intelligent,1H
08/01/2025 15:00,0.361,18545.348,Compteur intelligent,1H
08/01/2025 16:00,0.358,18545.705,Compteur intelligent,1H
08/01/2025 17:00,0.48,18546.185,Compteur intelligent,1H
08/01/2025 18:00,0.757,18546.942,Compteur intelligent,1H
08/01/2025 19:00,1.374,18548.316,Compteur intelligent,1H
08/01/2025 20:00,1.756,18550.072,Compteur intelligent,1H
08/01/2025 21:00,1.793,18551.865,Compteur intelligent,1H
08/01/2025 22:00,1.366,18553.231,Compteur intelligent,1H
08/01/2025 23:00,0.751,18553.982,Compteur intelligent,1H
09/01/2025 00:00,0.276,18554.258,Compteur intelligent,1H
09/01/2025 01:00,0.412,18554.67,Compteur intelligent,1H
09/01/2025 02:00,0.164,18554.834,Compteur intelligent,1H
09/01/2025 03:00,0.323,18555.157,Compteur intelligent,1H
09/01/2025 04:00,0.303,18555.46,Compteur intelligent,1H
09/01/2025 05:00,0.485,18555.945,Compteur intelligent,1H
09/01/2025 06:00,1.208,18557.153,Compteur intelligent,1H
09/01/2025 07:00,1.29,18558.443,Compteur intelligent,1H
09/01/2025 08:00,1.229,18559.671,Compteur intelligent,1H
09/01/2025 09:00,0.464,18560.135,Compteur intelligent,1H
09/01/2025 10:00,0.343,18560.478,Compteur intelligent,1H
09/01/2025 11:00,0.252,18560.73,Compteur intelligent,1H
09/01/2025 12:00,0.313,18561.043,Compteur intelligent,1H
09/01/2025 13:00,0.358,18561.402,Compteur intelligent,1H
09/01/2025 14:00,0.339,18561.741,Compteur intelligent,1H
09/01/2025 15:00,0.376,18562.117,Compteur intelligent,1H
09/01/2025 16:00,0.276,18562.394,Compteur intelligent,1H
09/01/2025 17:00,0.569,18562.963,Compteur intelligent,1H
09/01/2025 18:00,0.719,18563.682,Compteur intelligent,1H
09/01/2025 19:00,1.515,18565.197,Compteur intelligent,1H
09/01/2025 20:00,1.674,18566.871,Compteur intelligent,1H
09/01/2025 21:00,1.752,18568.623,Compteur intelligent,1H
09/01/2025 22:00,1.6,18570.223,Compteur intelligent,1H
09/01/2025 23:00,0.677,18570.9,Compteur intelligent,1H
10/01/2025 00:00,0.186,18571.086,Compteur intelligent,1H
10/01/2025 01:00,0.243,18571.33,Compteur intelligent,1H
10/01/2025 02:00,0.305,18571.635,Compteur intelligent,1H
10/01/2025 03:00,0.323,18571.958,Compteur intelligent,1H
10/01/2025 04:00,0.4,18572.357,Compteur intelligent,1H
10/01/2025 05:00,0.476,18572.833,Compteur intelligent,1H
10/01/2025 06:00,0.999,18573.833,Compteur intelligent,1H
10/01/2025 07:00,1.266,18575.099,Compteur intelligent,1H
10/01/2025 08:00,1.17,18576.269,Compteur intelligent,1H
10/01/2025 09:00,0.519,18576.788,Compteur intelligent,1H
10/01/2025 10:00,0.205,18576.993,Compteur intelligent,1H
10/01/2025 11:00,0.279,18577.272,Compteur intelligent,1H
10/01/2025 12:00,0.439,18577.711,Compteur intelligent,1H
10/01/2025 13:00,0.483,18578.194,Compteur intelligent,1H
10/01/2025 14:00,0.39,18578.584,Compteur intelligent,1H
10/01/2025 15:00,0.383,18578.968,Compteur intelligent,1H
10/01/2025 16:00,0.329,18579.297,Compteur intelligent,1H
10/01/2025 17:00,0.399,18579.696,Compteur intelligent,1H
10/01/2025 18:00,0.733,18580.429,Compteur intelligent,1H
10/01/2025 19:00,1.443,18581.871,Compteur intelligent,1H
10/01/2025 20:00,1.772,18583.643,Compteur intelligent,1H
10/01/2025 21:00,1.708,18585.351,Compteur intelligent,1H
10/01/2025 22:00,1.343,18586.694,Compteur intelligent,1H
10/01/2025 23:00,0.683,18587.377,Compteur intelligent,1H
11/01/2025 00:00,0.207,18587.585,Compteur intelligent,1H
11/01/2025 01:00,0.315,18587.9,Compteur intelligent,1H
11/01/2025 02:00,0.138,18588.038,Compteur intelligent,1H
11/01/2025 03:00,0.262,18588.3,Compteur intelligent,1H
11/01/2025 04:00,0.35,18588.649,Compteur intelligent,1H
11/01/2025 05:00,0.583,18589.233,Compteur intelligent,1H
11/01/2025 06:00,1.101,18590.334,Compteur intelligent,1H
11/01/2025 07:00,1.354,18591.688,Compteur intelligent,1H
11/01/2025 08:00,1.073,18592.761,Compteur intelligent,1H
11/01/2025 09:00,0.447,18593.209,Compteur intelligent,1H
11/01/2025 10:00,0.282,18593.491,Compteur intelligent,1H
11/01/2025 11:00,0.373,18593.864,Compteur intelligent,1H
11/01/2025 12:00,0.554,18594.418,Compteur intelligent,1H
11/01/2025 13:00,0.523,18594.941,Compteur intelligent,1H
11/01/2025 14:00,0.695,18595.636,Compteur intelligent,1H
11/01/2025 15:00,0.502,18596.138,Compteur intelligent,1H
11/01/2025 16:00,0.579,18596.717,Compteur intelligent,1H
11/01/2025 17:00,0.469,18597.186,Compteur intelligent,1H
11/01/2025 18:00,0.717,18597.904,Compteur intelligent,1H
11/01/2025 19:00,1.553,18599.457,Compteur intelligent,1H
11/01/2025 20:00,1.83,18601.287,Compteur intelligent,1H
11/01/2025 21:00,1.655,18602.942,Compteur intelligent,1H
11/01/2025 22:00,1.39,18604.332,Compteur intelligent,1H
11/01/2025 23:00,0.756,18605.089,Compteur intelligent,1H
12/01/2025 00:00,0.324,18605.413,Compteur intelligent,1H
12/01/2025 01:00,0.196,18605.609,Compteur intelligent,1H
12/01/2025 02:00,0.142,18605.751,Compteur intelligent,1H
12/01/2025 03:00,0.168,18605.919,Compteur intelligent,1H
12/01/2025 04:00,0.319,18606.237,Compteur intelligent,1H
12/01/2025 05:00,0.487,18606.724,Compteur intelligent,1H
12/01/2025 06:00,1.119,18607.843,Compteur intelligent,1H
12/01/2025 07:00,1.249,18609.093,Compteur intelligent,1H
12/01/2025 08:00,1.025,18610.118,Compteur intelligent,1H
12/01/2025 09:00,0.371,18610.489,Compteur intelligent,1H
12/01/2025 10:00,0.343,18610.832,Compteur intelligent,1H
12/01/2025 11:00,0.304,18611.136,Compteur intelligent,1H
12/01/2025 12:00,0.554,18611.691,Compteur intelligent,1H
12/01/2025 13:00,0.542,18612.233,Compteur intelligent,1H
12/01/2025 14:00,0.484,18612.717,Compteur intelligent,1H
12/01/2025 15:00,0.585,18613.303,Compteur intelligent,1H
12/01/2025 16:00,0.535,18613.837,Compteur intelligent,1H
12/01/2025 17:00,0.411,18614.249,Compteur intelligent,1H
12/01/2025 18:00,0.7,18614.949,Compteur intelligent,1H
12/01/2025 19:00,1.381,18616.331,Compteur intelligent,1H
12/01/2025 20:00,1.612,18617.942,Compteur intelligent,1H
12/01/2025 21:00,1.751,18619.693,Compteur intelligent,1H
12/01/2025 22:00,1.431,18621.125,Compteur intelligent,1H
12/01/2025 23:00,0.71,18621.835,Compteur intelligent,1H
13/01/2025 00:00,0.234,18622.069,Compteur intelligent,1H
13/01/2025 01:00,0.3,18622.369,Compteur intelligent,1H
13/01/2025 02:00,0.381,18622.749,Compteur intelligent,1H
13/01/2025 03:00,0.285,18623.034,Compteur intelligent,1H
13/01/2025 04:00,0.293,18623.327,Compteur intelligent,1H
13/01/2025 05:00,0.458,18623.785,Compteur intelligent,1H
13/01/2025 06:00,1.096,18624.881,Compteur intelligent,1H
13/01/2025 07:00,1.222,18626.103,Compteur intelligent,1H
13/01/2025 08:00,1.093,18627.196,Compteur intelligent,1H
13/01/2025 09:00,0.497,18627.693,Compteur intelligent,1H
13/01/2025 10:00,0.434,18628.127,Compteur intelligent,1H
13/01/2025 11:00,0.339,18628.466,Compteur intelligent,1H
13/01/2025 12:00,0.419,18628.885,Compteur intelligent,1H
13/01/2025 13:00,0.314,18629.199,Compteur intelligent,1H
13/01/2025 14:00,0.398,18629.597,Compteur intelligent,1H
13/01/2025 15:00,0.298,18629.895,Compteur intelligent,1H
13/01/2025 16:00,0.424,18630.319,Compteur intelligent,1H
13/01/2025 17:00,0.477,18630.796,Compteur intelligent,1H
13/01/2025 18:00,0.687,18631.482,Compteur intelligent,1H
13/01/2025 19:00,1.538,18633.021,Compteur intelligent,1H
13/01/2025 20:00,1.778,18634.799,Compteur intelligent,1H
13/01/2025 21:00,1.63,18636.429,Compteur intelligent,1H
13/01/2025 22:00,1.451,18637.88,Compteur intelligent,1H
13/01/2025 23:00,0.708,18638.588,Compteur intelligent,1H
14/01/2025 00:00,0.278,18638.866,Compteur intelligent,1H
14/01/2025 01:00,0.306,18639.172,Compteur intelligent,1H
14/01/2025 02:00,0.301,18639.473,Compteur intelligent,1H
14/01/2025 03:00,0.161,18639.634,Compteur intelligent,1H
14/01/2025 04:00,0.254,18639.888,Compteur intelligent,1H
14/01/2025 05:00,0.54,18640.429,Compteur intelligent,1H
14/01/2025 06:00,1.18,18641.609,Compteur intelligent,1H
14/01/2025 07:00,1.413,18643.022,Compteur intelligent,1H
14/01/2025 08:00,1.21,18644.232,Compteur intelligent,1H
14/01/2025 09:00,0.371,18644.603,Compteur intelligent,1H
14/01/2025 10:00,0.37,18644.973,Compteur intelligent,1H
14/01/2025 11:00,0.168,18645.141,Compteur intelligent,1H
14/01/2025 12:00,0.454,18645.595,Compteur intelligent,1H
14/01/2025 13:00,0.372,18645.967,Compteur intelligent,1H
14/01/2025 14:00,0.29,18646.257,Compteur intelligent,1H
14/01/2025 15:00,0.487,18646.745,Compteur intelligent,1H
14/01/2025 16:00,0.444,18647.189,Compteur intelligent,1H
14/01/2025 17:00,0.339,18647.528,Compteur intelligent,1H
14/01/2025 18:00,0.751,18648.279,Compteur intelligent,1H
14/01/2025 19:00,1.376,18649.656,Compteur intelligent,1H
14/01/2025 20:00,1.753,18651.409,Compteur intelligent,1H
14/01/2025 21:00,1.719,18653.127,Compteur intelligent,1H
14/01/2025 22:00,1.503,18654.63,Compteur intelligent,1H
14/01/2025 23:00,0.648,18655.278,Compteur intelligent,1H
15/01/2025 00:00,0.297,18655.575,Compteur intelligent,1H
15/01/2025 01:00,0.387,18655.962,Compteur intelligent,1H
15/01/2025 02:00,0.229,18656.191,Compteur intelligent,1H
15/01/2025 03:00,0.296,18656.487,Compteur intelligent,1H
15/01/2025 04:00,0.337,18656.824,Compteur intelligent,1H
15/01/2025 05:00,0.453,18657.277,Compteur intelligent,1H
15/01/2025 06:00,1.142,18658.419,Compteur intelligent,1H
15/01/2025 07:00,1.307,18659.726,Compteur intelligent,1H
15/01/2025 08:00,1.047,18660.773,Compteur intelligent,1H
15/01/2025 09:00,0.601,18661.373,Compteur intelligent,1H
15/01/2025 10:00,0.372,18661.745,Compteur intelligent,1H
15/01/2025 11:00,0.273,18662.018,Compteur intelligent,1H
15/01/2025 12:00,0.32,18662.338,Compteur intelligent,1H
15/01/2025 13:00,0.311,18662.649,Compteur intelligent,1H
15/01/2025 14:00,0.433,18663.081,Compteur intelligent,1H
15/01/2025 15:00,0.359,18663.44,Compteur intelligent,1H
15/01/2025 16:00,0.434,18663.874,Compteur intelligent,1H
15/01/2025 17:00,0.442,18664.316,Compteur intelligent,1H
15/01/2025 18:00,0.772,18665.087,Compteur intelligent,1H
15/01/2025 19:00,1.415,18666.503,Compteur intelligent,1H
15/01/2025 20:00,1.795,18668.297,Compteur intelligent,1H
15/01/2025 21:00,1.738,18670.035,Compteur intelligent,1H
15/01/2025 22:00,1.472,18671.507,Compteur intelligent,1H
15/01/2025 23:00,0.775,18672.282,Compteur intelligent,1H
16/01/2025 00:00,0.271,18672.554,Compteur intelligent,1H
16/01/2025 01:00,0.227,18672.781,Compteur intelligent,1H
16/01/2025 02:00,0.222,18673.003,Compteur intelligent,1H
16/01/2025 03:00,0.239,18673.242,Compteur intelligent,1H
16/01/2025 04:00,0.266,18673.508,Compteur intelligent,1H
16/01/2025 05:00,0.547,18674.056,Compteur intelligent,1H
16/01/2025 06:00,1.102,18675.158,Compteur intelligent,1H
16/01/2025 07:00,1.397,18676.555,Compteur intelligent,1H
16/01/2025 08:00,1.241,18677.796,Compteur intelligent,1H
16/01/2025 09:00,0.497,18678.293,Compteur intelligent,1H
16/01/2025 10:00,0.232,18678.525,Compteur intelligent,1H
16/01/2025 11:00,0.261,18678.786,Compteur intelligent,1H
16/01/2025 12:00,0.354,18679.14,Compteur intelligent,1H
16/01/2025 13:00,0.269,18679.409,Compteur intelligent,1H
16/01/2025 14:00,0.344,18679.753,Compteur intelligent,1H
16/01/2025 15:00,0.385,18680.138,Compteur intelligent,1H
16/01/2025 16:00,0.379,18680.517,Compteur intelligent,1H
16/01/2025 17:00,0.407,18680.925,Compteur intelligent,1H
16/01/2025 18:00,0.69,18681.615,Compteur intelligent,1H
16/01/2025 19:00,1.531,18683.146,Compteur intelligent,1H
16/01/2025 20:00,1.742,18684.888,Compteur intelligent,1H
16/01/2025 21:00,1.701,18686.59,Compteur intelligent,1H
16/01/2025 22:00,1.402,18687.991,Compteur intelligent,1H
16/01/2025 23:00,0.793,18688.784,Compteur intelligent,1H
17/01/2025 00:00,0.238,18689.022,Compteur intelligent,1H
17/01/2025 01:00,0.308,18689.33,Compteur intelligent,1H
17/01/2025 02:00,0.323,18689.653,Compteur intelligent,1H
17/01/2025 03:00,0.329,18689.982,Compteur intelligent,1H
17/01/2025 04:00,0.409,18690.391,Compteur intelligent,1H
17/01/2025 05:00,0.463,18690.854,Compteur intelligent,1H
17/01/2025 06:00,1.174,18692.029,Compteur intelligent,1H
17/01/2025 07:00,1.257,18693.286,Compteur intelligent,1H
17/01/2025 08:00,1.082,18694.368,Compteur intelligent,1H
17/01/2025 09:00,0.568,18694.936,Compteur intelligent,1H
17/01/2025 10:00,0.375,18695.311,Compteur intelligent,1H
17/01/2025 11:00,0.284,18695.595,Compteur intelligent,1H
17/01/2025 12:00,0.287,18695.882,Compteur intelligent,1H
17/01/2025 13:00,0.392,18696.275,Compteur intelligent,1H
17/01/2025 14:00,0.322,18696.597,Compteur intelligent,1H
17/01/2025 15:00,0.313,18696.91,Compteur intelligent,1H
17/01/2025 16:00,0.368,18697.278,Compteur intelligent,1H
17/01/2025 17:00,0.469,18697.747,Compteur intelligent,1H
17/01/2025 18:00,0.61,18698.357,Compteur intelligent,1H
17/01/2025 19:00,1.448,18699.804,Compteur intelligent,1H
17/01/2025 20:00,1.764,18701.569,Compteur intelligent,1H
17/01/2025 21:00,1.719,18703.287,Compteur intelligent,1H
17/01/2025 22:00,1.488,18704.776,Compteur intelligent,1H
17/01/2025 23:00,0.773,18705.549,Compteur intelligent,1H
18/01/2025 00:00,0.243,18705.792,Compteur intelligent,1H
18/01/2025 01:00,0.239,18706.031,Compteur intelligent,1H
18/01/2025 02:00,0.321,18706.352,Compteur intelligent,1H
18/01/2025 03:00,0.194,18706.546,Compteur intelligent,1H
18/01/2025 04:00,0.306,18706.852,Compteur intelligent,1H
18/01/2025 05:00,0.459,18707.311,Compteur intelligent,1H
18/01/2025 06:00,1.112,18708.423,Compteur intelligent,1H
18/01/2025 07:00,1.319,18709.742,Compteur intelligent,1H
18/01/2025 08:00,1.11,18710.852,Compteur intelligent,1H
18/01/2025 09:00,0.565,18711.417,Compteur intelligent,1H
18/01/2025 10:00,0.339,18711.756,Compteur intelligent,1H
18/01/2025 11:00,0.266,18712.022,Compteur intelligent,1H
18/01/2025 12:00,0.426,18712.448,Compteur intelligent,1H
18/01/2025 13:00,0.542,18712.99,Compteur intelligent,1H
18/01/2025 14:00,0.532,18713.522,Compteur intelligent,1H
18/01/2025 15:00,0.596,18714.117,Compteur intelligent,1H
18/01/2025 16:00,0.503,18714.62,Compteur intelligent,1H
18/01/2025 17:00,0.456,18715.076,Compteur intelligent,1H
18/01/2025 18:00,0.734,18715.811,Compteur intelligent,1H
18/01/2025 19:00,1.423,18717.234,Compteur intelligent,1H
18/01/2025 20:00,1.757,18718.99,Compteur intelligent,1H
18/01/2025 21:00,1.653,18720.644,Compteur intelligent,1H
18/01/2025 22:00,1.478,18722.121,Compteur intelligent,1H
18/01/2025 23:00,0.777,18722.898,Compteur intelligent,1H
19/01/2025 00:00,0.347,18723.246,Compteur intelligent,1H
19/01/2025 01:00,0.415,18723.66,Compteur intelligent,1H
19/01/2025 02:00,0.261,18723.921,Compteur intelligent,1H
